FTR_NM,RPT_DT
CASA_MAX_BAL_1M,2023-01-16
CASA_MIN_BAL_1M,2023-01-16
CASA_SUM_BAL_NOW,2023-07-31
CASA_SUM_TXN_AMT_12M,2023-07-31
CASA_SUM_TXN_AMT_1M,2023-01-16
CASA_SUM_TXN_AMT_3M,2023-07-31
CASA_SUM_TXN_AMT_6M,2023-07-31
CASH_CT_TXN_12M,2023-07-31
CASH_CT_TXN_1M,2023-01-16
CASH_SM_AMT_12M,2023-07-31
CASH_SM_AMT_1M,2023-01-16
CHILD_PET_CT_TXN_12M,2023-01-16
CHILD_PET_CT_TXN_1M,2023-01-16
CHILD_PET_SM_AMT_12M,2023-01-16
CHILD_PET_SM_AMT_1M,2023-01-16
CREDIT_SCORE,2023-01-16
DEBT_GRP,2023-01-16
EB_CT_TXN_3M,2023-01-16
EB_CT_TXN_6M,2023-01-16
EB_MBIB_CT_TXN_1M,2023-01-16
EB_MBIB_CT_TXN_3M,2023-01-16
EB_MBIB_CT_TXN_6M,2023-01-16
EB_MBIB_DAY_SINCE_ACTIVE,2023-07-31
EB_MBIB_DAY_SINCE_LTST_TXN,2023-01-16
EB_MBIB_HOLD,2023-07-31
EB_MBIB_INACTIVE,2023-01-16
EB_MBIB_SUM_TXN_AMT_1M,2023-01-16
EB_MBIB_SUM_TXN_AMT_3M,2023-01-16
EB_MBIB_SUM_TXN_AMT_6M,2023-01-16
EB_MB_CROSS_SELL_LABEL1,2023-01-16
EB_MB_CROSS_SELL_LABEL2,2023-01-16
EB_SACOMPAY_CT_INACTIVE,2023-01-16
EB_SACOMPAY_CT_TXN_1M,2023-01-16
EB_SACOMPAY_CT_TXN_3M,2023-01-16
EB_SACOMPAY_CT_TXN_6M,2023-01-16
EB_SACOMPAY_DAY_SINCE_LTST_LOGIN,2023-01-16
EB_SACOMPAY_DAY_SINCE_LTST_TXN,2023-01-16
EB_SACOMPAY_HOLD,2023-07-31
EB_SACOMPAY_INACTIVE,2023-01-16
EB_SACOMPAY_SUM_TXN_AMT_1M,2023-01-16
EB_SACOMPAY_SUM_TXN_AMT_3M,2023-01-16
EB_SACOMPAY_SUM_TXN_AMT_6M,2023-01-16
EDUCATION_CT_TXN_12M,2023-01-16
EDUCATION_CT_TXN_1M,2023-01-16
EDUCATION_SM_AMT_12M,2023-01-16
EDUCATION_SM_AMT_1M,2023-01-16
FAV_POS_6M_CT,2023-07-31
FAV_POS_6M_SM,2023-07-31
FOOD_GROCERY_CT_TXN_12M,2023-01-16
FOOD_GROCERY_CT_TXN_1M,2023-01-16
FOOD_GROCERY_SM_AMT_12M,2023-01-16
FOOD_GROCERY_SM_AMT_1M,2023-01-16
GENDER,2023-07-31
GEN_GRP,2023-07-31
HOBBIES_CT_TXN_12M,2023-01-16
HOBBIES_CT_TXN_1M,2023-01-16
HOBBIES_ENTERTAINMENT_CT_TXN_12M,2023-01-16
HOBBIES_ENTERTAINMENT_CT_TXN_1M,2023-01-16
HOBBIES_ENTERTAINMENT_SM_AMT_12M,2023-01-16
HOBBIES_ENTERTAINMENT_SM_AMT_1M,2023-01-16
HOBBIES_SM_AMT_12M,2023-01-16
HOBBIES_SM_AMT_1M,2023-01-16
HOBBIES_SPORT_CT_TXN_12M,2023-01-16
